stoc_pol_mean,VF_error_before,stoc_pol_min,VF_error_after,time_opt,eval_score,kl_dist,time_VF,time_sampling,surr_improvement,running_score,stoc_pol_std,alpha,stoc_pol_max
-360.8456724101923,1.0,-417.4207442237475,0.009718988818873564,0.1115880012512207,-0.8016869231664003,0.000846778,0.00950312614440918,0.6460568904876709,0.0011409179,-360.8456724101923,29.306892606429045,1.0,-315.5479324880008
-348.57323538423213,0.01154994470845315,-391.9787064185809,0.009435966375089777,0.07271194458007812,-3.5861279810335476,0.0017375427,0.0029609203338623047,0.5212209224700928,0.002191124,-359.6184287075963,24.249627840947102,1.0,-318.6848385576623
-349.36349840556267,0.00741347949329951,-381.16073653860104,0.006915531170992174,0.06832504272460938,1.698941838342909,0.0027972532,0.0031359195709228516,0.5253651142120361,0.0033101984,-358.592935677393,22.32997484483984,1.0,-304.63886561091067
-325.4508181821632,0.018669932005095636,-407.77186417773476,0.012729304938972463,0.06571388244628906,-2.525389398131854,0.0022015106,0.002988100051879883,0.5350549221038818,0.0026520363,-355.27872392787,38.99076050340972,1.0,-266.5758830874182
-312.8292122290435,0.014768043211925617,-358.1144096039845,0.012192943359439712,0.0690310001373291,-1.2763552614211389,0.00063482294,0.002952098846435547,0.5216920375823975,0.0010000109,-351.0337727579873,21.435197905898264,1.0,-283.97316633898765
-296.22967314947056,0.016978342306185477,-323.31956914171235,0.011971633388335338,0.059706926345825195,-0.12099302497752489,0.0009638744,0.0030121803283691406,0.5297160148620605,0.001294177,-345.55336279713566,18.39457771670986,1.0,-260.33623935740854
-283.1213168365532,0.01950406359344534,-323.2576303783673,0.014741870930702922,0.06627702713012695,-2.372665368672905,0.0023542142,0.003229856491088867,0.5439598560333252,0.002939026,-339.3101582010774,31.773441445748798,1.0,-214.602392844143
-274.69059858085495,0.013371316960652234,-301.7842774393989,0.009182777580694449,0.06707501411437988,0.13677704746639324,0.0011605709,0.0033218860626220703,0.5221431255340576,0.0015084952,-332.8482022390551,20.484590791951216,1.0,-236.15922006210675
-271.6846013131827,0.012379780271000538,-297.10127017777205,0.009707844741204874,0.06266593933105469,-2.5060291339270124,0.0022064487,0.003134012222290039,0.5379900932312012,0.0029180457,-326.7318421464679,16.48802024842379,1.0,-242.2993474893584
-249.15079509773324,0.01359154766257096,-270.7859230399518,0.008204725055760736,0.06705999374389648,-1.5960274453825072,0.001323669,0.002424955368041992,0.5190370082855225,0.0016217477,-318.97373744159444,14.319314519461843,1.0,-221.79517968754732
-253.91981110145966,0.015084661821202418,-282.49380814948574,0.01135654968644954,0.058534860610961914,2.0455888439061254,0.0031851407,0.0030388832092285156,0.5288200378417969,0.0035701906,-312.468344807581,15.552516399651944,1.0,-218.3916464801151
-253.31645778388474,0.018382780576051784,-292.3344036377585,0.016320585762905394,0.061746835708618164,2.068425925208138,0.0023723643,0.003216981887817383,0.5367100238800049,0.0027231094,-306.5531561052114,22.15124395396471,1.0,-217.27812588304724
